Rank,Gymnast,vt,ub,bb,fx,Total,year
1,Simone Biles,15.233,14.733,14.633,14.4,58.999,2019
2,Tang Xijing,14.166,14.533,14.6,13.6,56.899,2019
3,Angelina Melnikova,14.433,13.9,14.0,14.066,56.399,2019
4,Ellie Black,14.566,14.133,14.0,13.533,56.232,2019
5,Nina Derwael,13.6,15.2,13.733,13.5,56.033,2019
6,Elisabeth Seitz,14.6,14.866,13.233,13.3,55.999,2019
7,Flávia Saraiva,14.466,13.3,14.033,13.933,55.732,2019
8,Sunisa Lee,14.466,13.133,13.833,14.2,55.632,2019
9,Li Shijia,14.433,13.366,14.0,13.3,55.099,2019
10,Sarah Voss,14.5,13.666,13.866,12.866,54.898,2019
11,Aline Friess,14.966,13.6,13.066,13.166,54.798,2019
12,Alice Kinsella,14.266,13.766,13.8,12.933,54.765,2019
13,Asuka Teramoto,14.6,14.0,13.366,12.7,54.666,2019
14,Brooklyn Moors,14.166,13.266,13.5,13.566,54.498,2019
15,Diana Varinska,13.5,14.133,13.333,13.4,54.366,2019
16,Giorgia Villa,14.7,14.333,12.633,12.566,54.232,2019
17,Hitomi Hatakeda,13.8,13.866,13.533,12.733,53.932,2019
18,Giulia Steingruber,14.933,12.5,12.8,13.633,53.866,2019
19,Georgia Godwin,13.733,13.5,13.366,13.233,53.832,2019
20,Mélanie de Jesus dos Santos,14.633,11.933,13.5,13.5,53.566,2019
21,Cintia Rodríguez,13.333,13.7,11.833,12.6,51.466,2019
22,Lilia Akhaimova,14.533,12.066,11.4,13.466,51.465,2019
23,Naomi Visser,13.266,12.1,13.6,12.2,51.166,2019
24,Elisa Iorio,13.266,0.0,12.666,12.866,0.0,2019
