Subject	Appraiser	Rating
143	2	1
144	2	1
145	2	1
146	2	2
147	2	1
148	2	1
149	2	1
150	2	1
151	2	1
152	2	2
153	2	1
154	2	1
155	2	2
156	2	1
157	2	1
158	2	2
159	2	1
160	2	1
161	2	1
162	2	1
163	2	1
164	2	1
165	2	1
166	2	1
167	2	1
168	2	1
169	2	1
170	2	2
171	2	1
172	2	1
173	2	1
174	2	1
175	2	2
176	2	2
177	2	2
178	2	1
179	2	1
180	2	1
181	2	1
182	2	1
183	2	1
184	2	1
185	2	1
186	2	1
187	2	1
188	2	1
189	2	1
190	2	1
191	2	1
192	2	1
193	2	1
194	2	2
195	2	1
196	2	2
197	2	1
198	2	1
199	2	1
200	2	2
1	3	1
2	3	1
3	3	1
4	3	1
5	3	2
6	3	1
7	3	1
8	3	2
9	3	2
10	3	1
11	3	2
12	3	2
13	3	1
14	3	2
15	3	1
16	3	1
17	3	1
18	3	2
19	3	1
20	3	2
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	2
27	3	1
28	3	2
29	3	1
30	3	1
31	3	2
32	3	1
33	3	1
34	3	1
35	3	1
36	3	2
37	3	2
38	3	1
39	3	2
40	3	1
41	3	1
42	3	1
43	3	1
44	3	1
45	3	1
46	3	1
47	3	1
48	3	1
49	3	1
50	3	1
51	3	1
52	3	1
53	3	1
54	3	1
55	3	1
56	3	1
57	3	2
58	3	1
59	3	1
60	3	1
61	3	2
62	3	1
63	3	1
64	3	2
65	3	2
66	3	1
67	3	1
68	3	2
69	3	2
70	3	1
71	3	1
72	3	2
73	3	1
74	3	1
75	3	2
76	3	1
77	3	1
78	3	1
79	3	1
80	3	1
81	3	1
82	3	1
83	3	1
84	3	1
85	3	1
86	3	1
87	3	1
88	3	1
89	3	1
90	3	1
91	3	2
92	3	1
93	3	2
94	3	1
95	3	1
96	3	1
97	3	1
98	3	1
99	3	1
100	3	1
101	3	2
102	3	1
103	3	1
104	3	1
105	3	2
106	3	1
107	3	1
108	3	1
109	3	2
110	3	1
111	3	1
112	3	1
113	3	1
114	3	1
115	3	1
116	3	1
117	3	1
118	3	1
119	3	1
120	3	1
121	3	1
122	3	2
123	3	1
124	3	1
125	3	1
126	3	1
127	3	2
128	3	1
129	3	1
130	3	1
131	3	1
132	3	1
133	3	1
134	3	1
135	3	1
136	3	1
137	3	1
138	3	1
139	3	1
140	3	1
141	3	1
142	3	1
143	3	1
144	3	1
145	3	1
146	3	1
147	3	1
148	3	1
149	3	1
150	3	1
151	3	1
152	3	1
153	3	1
154	3	1
155	3	2
156	3	1
157	3	1
158	3	1
159	3	1
160	3	2
161	3	1
162	3	1
163	3	1
164	3	1
165	3	1
166	3	1
167	3	1
168	3	1
169	3	1
170	3	2
171	3	1
172	3	1
173	3	1
174	3	1
175	3	1
176	3	1
177	3	1
178	3	1
179	3	1
180	3	1
181	3	1
182	3	1
183	3	1
184	3	1
185	3	1
186	3	1
187	3	1
188	3	1
189	3	1
190	3	1
191	3	1
192	3	1
193	3	1
194	3	2
195	3	1
196	3	1
197	3	1
198	3	2
199	3	2
200	3	1
